iteration,timestamp,kbSize,ruleSize,elapsedTimeInMillis,memoryUsedInKB
1,2026-04-28 18:43:39,1318136,5,87983,3041665
2,2026-04-28 18:51:03,1318136,5,88025,3277955
3,2026-04-28 18:58:27,1318136,5,87063,2989193
4,2026-04-28 19:05:52,1318136,5,87444,2965498
5,2026-04-28 19:13:16,1318136,5,86726,3184102
6,2026-04-28 19:20:40,1318136,5,87001,2883387
7,2026-04-28 19:28:05,1318136,5,86596,2902745
8,2026-04-28 19:35:30,1318136,5,87526,3186683
9,2026-04-28 19:42:55,1318136,5,87961,3045113
10,2026-04-28 19:50:20,1318136,5,88208,3039285
1,2026-04-28 19:58:18,1318136,9,119659,4823067
2,2026-04-28 20:06:18,1318136,9,123225,3196281
3,2026-04-28 20:14:15,1318136,9,120154,3561843
4,2026-04-28 20:22:15,1318136,9,122384,3074856
5,2026-04-28 20:30:14,1318136,9,120817,3616561
6,2026-04-28 20:38:12,1318136,9,120754,4959127
7,2026-04-28 20:46:10,1318136,9,120774,5011730
8,2026-04-28 20:54:11,1318136,9,123819,2832044
9,2026-04-28 21:02:10,1318136,9,121051,2522219
10,2026-04-28 21:10:08,1318136,9,120854,4851202
1,2026-04-28 21:18:40,1318136,13,153249,3902221
2,2026-04-28 21:27:16,1318136,13,158211,5230502
3,2026-04-28 21:35:48,1318136,13,153719,3804238
4,2026-04-28 21:44:18,1318136,13,153247,4610523
5,2026-04-28 21:52:50,1318136,13,154651,4208782
6,2026-04-28 22:01:22,1318136,13,153870,3987524
7,2026-04-28 22:09:53,1318136,13,154295,4236109
8,2026-04-28 22:18:27,1318136,13,155988,4099586
9,2026-04-28 22:26:59,1318136,13,154313,3516782
10,2026-04-28 22:35:31,1318136,13,154690,4242693
1,2026-04-28 22:44:36,1318136,17,187755,6443063
2,2026-04-28 22:53:44,1318136,17,191323,4917897
3,2026-04-28 23:02:50,1318136,17,187958,6027971
4,2026-04-28 23:11:57,1318136,17,188657,5766796
5,2026-04-28 23:21:03,1318136,17,189420,5952327
6,2026-04-28 23:30:10,1318136,17,188433,5460181
7,2026-04-28 23:39:14,1318136,17,186731,8091706
8,2026-04-28 23:48:21,1318136,17,189995,5837133
9,2026-04-28 23:57:31,1318136,17,192359,5862086
10,2026-04-29 00:06:40,1318136,17,190075,6516732
1,2026-04-29 00:16:16,1318136,21,219916,7583883
2,2026-04-29 00:25:57,1318136,21,222720,6972679
3,2026-04-29 00:35:37,1318136,21,222996,6419482
4,2026-04-29 00:45:18,1318136,21,222932,7401830
5,2026-04-29 00:54:59,1318136,21,223478,7912533
6,2026-04-29 01:04:38,1318136,21,220798,7919233
7,2026-04-29 01:14:18,1318136,21,222704,7716020
8,2026-04-29 01:23:59,1318136,21,222738,7278786
9,2026-04-29 01:33:37,1318136,21,220175,7757405
10,2026-04-29 01:43:17,1318136,21,222072,6334644
1,2026-04-29 01:50:45,1318136,6,90800,2887390
2,2026-04-29 01:58:13,1318136,6,90525,2783558
3,2026-04-29 02:05:39,1318136,6,89593,2217039
4,2026-04-29 02:13:06,1318136,6,89757,2190810
5,2026-04-29 02:20:33,1318136,6,90106,2774884
6,2026-04-29 02:28:01,1318136,6,90459,2983278
7,2026-04-29 02:35:28,1318136,6,89831,2100862
8,2026-04-29 02:42:55,1318136,6,90409,2823668
9,2026-04-29 02:50:24,1318136,6,91495,2801317
10,2026-04-29 02:57:51,1318136,6,89812,2816581
1,2026-04-29 03:05:34,1318136,8,105721,3360735
2,2026-04-29 03:13:16,1318136,8,104464,1770667
3,2026-04-29 03:20:57,1318136,8,104688,3737916
4,2026-04-29 03:28:40,1318136,8,106077,2057093
5,2026-04-29 03:36:25,1318136,8,106236,3293246
6,2026-04-29 03:44:07,1318136,8,105139,2730235
7,2026-04-29 03:51:51,1318136,8,105815,1731432
8,2026-04-29 03:59:32,1318136,8,104124,2484448
9,2026-04-29 04:07:15,1318136,8,105737,3552399
10,2026-04-29 04:14:57,1318136,8,105046,3496044
1,2026-04-29 04:22:56,1318136,10,121544,3061529
2,2026-04-29 04:30:52,1318136,10,119529,3598131
3,2026-04-29 04:38:49,1318136,10,119775,1866502
4,2026-04-29 04:46:46,1318136,10,119104,3578240
5,2026-04-29 04:54:44,1318136,10,120600,4697307
6,2026-04-29 05:02:44,1318136,10,122076,3430542
7,2026-04-29 05:10:42,1318136,10,120173,3186526
8,2026-04-29 05:18:39,1318136,10,120054,4420333
9,2026-04-29 05:26:36,1318136,10,119518,1913319
10,2026-04-29 05:34:34,1318136,10,120797,3669559
1,2026-04-29 05:42:47,1318136,12,135704,2779887
2,2026-04-29 05:51:00,1318136,12,135804,2425201
3,2026-04-29 05:59:12,1318136,12,134039,3872415
4,2026-04-29 06:07:24,1318136,12,135710,2855862
5,2026-04-29 06:15:37,1318136,12,135147,2273626
6,2026-04-29 06:23:48,1318136,12,134052,3682957
7,2026-04-29 06:31:59,1318136,12,133937,2945559
8,2026-04-29 06:40:12,1318136,12,135895,3904053
9,2026-04-29 06:48:26,1318136,12,137169,3074859
10,2026-04-29 06:56:38,1318136,12,134803,3940141
1,2026-04-29 07:05:05,1318136,14,148882,4300237
2,2026-04-29 07:13:32,1318136,14,149344,5303914
3,2026-04-29 07:21:59,1318136,14,150492,3729845
4,2026-04-29 07:30:27,1318136,14,150016,4473084
5,2026-04-29 07:38:54,1318136,14,150212,2798742
6,2026-04-29 07:47:21,1318136,14,149288,2881185
7,2026-04-29 07:55:49,1318136,14,150303,4804212
8,2026-04-29 08:04:17,1318136,14,149310,3253934
9,2026-04-29 08:12:43,1318136,14,149118,4380967
10,2026-04-29 08:21:10,1318136,14,150163,3740673
1,2026-04-29 08:28:30,1318136,5,83203,2454240
2,2026-04-29 08:35:49,1318136,5,81493,1534221
3,2026-04-29 08:43:07,1318136,5,81096,1834554
4,2026-04-29 08:50:27,1318136,5,82142,2426276
5,2026-04-29 08:57:47,1318136,5,82489,1500929
6,2026-04-29 09:05:07,1318136,5,83398,2476909
7,2026-04-29 09:12:27,1318136,5,81918,2473089
8,2026-04-29 09:19:47,1318136,5,82692,2587726
9,2026-04-29 09:27:07,1318136,5,82551,2393065
10,2026-04-29 09:34:26,1318136,5,81381,2094536
1,2026-04-29 09:42:15,1318136,9,112338,2463003
2,2026-04-29 09:50:06,1318136,9,113541,1546074
3,2026-04-29 09:57:56,1318136,9,112798,3846860
4,2026-04-29 10:05:45,1318136,9,112091,1798348
5,2026-04-29 10:13:35,1318136,9,112581,2846726
6,2026-04-29 10:21:25,1318136,9,112928,1437293
7,2026-04-29 10:29:15,1318136,9,113055,1500618
8,2026-04-29 10:37:06,1318136,9,113494,3273826
9,2026-04-29 10:44:57,1318136,9,112908,2660049
10,2026-04-29 10:52:47,1318136,9,112408,3632614
1,2026-04-29 11:01:05,1318136,13,141399,3924487
2,2026-04-29 11:09:25,1318136,13,143408,4337099
3,2026-04-29 11:17:45,1318136,13,142673,3308987
4,2026-04-29 11:26:05,1318136,13,142501,3451492
5,2026-04-29 11:34:27,1318136,13,144782,2942376
6,2026-04-29 11:42:47,1318136,13,142008,4468129
7,2026-04-29 11:51:05,1318136,13,141432,4349121
8,2026-04-29 11:59:24,1318136,13,141796,2699952
9,2026-04-29 12:07:43,1318136,13,141716,4126861
10,2026-04-29 12:16:03,1318136,13,142870,3171010
1,2026-04-29 12:24:52,1318136,17,171503,4365929
2,2026-04-29 12:33:40,1318136,17,170839,4076696
3,2026-04-29 12:42:28,1318136,17,171042,6151360
4,2026-04-29 12:51:18,1318136,17,173380,5173641
5,2026-04-29 13:00:10,1318136,17,174316,3802044
6,2026-04-29 13:09:00,1318136,17,171850,6161598
7,2026-04-29 13:17:51,1318136,17,173573,4218275
8,2026-04-29 13:26:42,1318136,17,173439,5914341
9,2026-04-29 13:35:33,1318136,17,174021,4439053
10,2026-04-29 13:44:24,1318136,17,173485,3800102
